Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name
,Sony headphones,,,5,BestBuy Canada,
,Best headphone in the class,,,5,BestBuy Canada,
,Excellent sound!,,,5,BestBuy Canada,
,Great headphones,,,5,BestBuy Canada,
,Amazing headphones,,,5,BestBuy Canada,
,👍,,,4,BestBuy Canada,
,There Fantastic,,,5,BestBuy Canada,
,Wish they were mpre intuitive,,,3,BestBuy Canada,
,Comfortability for the win,,,5,BestBuy Canada,
,M6 headsets,,,5,BestBuy Canada,
,The only headphones i needed,,,5,BestBuy Canada,
,It sounds amazing especially when you set the eq,,,5,BestBuy Canada,
,Update issues,,,3,BestBuy Canada,
,Sony 1000xm6,,,5,BestBuy Canada,
,Recommend,,,5,BestBuy Canada,
,Amazing!,,,5,BestBuy Canada,
,Sound quality could’ve been better,,,3,BestBuy Canada,
,XM 6. Headphones,,,4,BestBuy Canada,
,Great headphones,,,5,BestBuy Canada,
,Sony did it again,,,5,BestBuy Canada,
,Best headphones I bought,,,5,BestBuy Canada,
,Great Headphones,,,5,BestBuy Canada,
,Mr,,,5,BestBuy Canada,
,Best present ever,,,5,BestBuy Canada,
,Great,,,5,BestBuy Canada,
,Awesome device,,,5,BestBuy Canada,
,a great purchase,,,5,BestBuy Canada,
,Great hesdphones,,,5,BestBuy Canada,
,Headphone,,,5,BestBuy Canada,
,Great quality,,,5,BestBuy Canada,
,Good headphones - con is noise leaking,,,5,BestBuy Canada,
,Absurd,,,1,BestBuy Canada,
,Eddie,,,5,BestBuy Canada,
,Impressive sound,,,5,BestBuy Canada,
,They do what they say,,,5,BestBuy Canada,
,A little overhyped and underwhelming,,,2,BestBuy Canada,
,Great Headphone,,,5,BestBuy Canada,
,Love them!,,,5,BestBuy Canada,
,Love!,,,5,BestBuy Canada,
,Sony Xm6,,,5,BestBuy Canada,
,Best headphones ever,,,5,BestBuy Canada,
,Great headphones,,,5,BestBuy Canada,
,Clean sound,,,5,BestBuy Canada,
,Great choice and best Buy,,,5,BestBuy Canada,
